country	usa florida	28.53834	-81.37924
country	usa texas	30.26715	-97.74306
country	usa arizona	33.44838	-112.07404
country	usa idaho	43.6135	-116.20345
country	canada	43.70011	-79.4163
country	usa ohio	39.96118	-82.99879
country	south korea	35.907757	127.766922
country	usa california	34.05223	-118.24368
country	india	28.65195	77.23149
country	usa new york	40.71427	-74.00597
country	usa oregon newberg	45.30012	-122.97316
country	mexico	23.634501	-102.552784
country	usa	39.7837304	-100.4458824
country	western australia	-31.99119	115.86336
country	australia	-25.274398	133.775136